,PRODUCT_NAME,sentiment_price_positive_num,sentiment_price_neutral_num,sentiment_price_negative_num,sentiment_price_positive_percent,sentiment_price_neutral_percent,sentiment_price_negative_percent
145,"Aloe Turmeric Gel for Skin and Hair 300ml (Saver Pack, get 20% extra)",1,0,0,100,0,0
146,Mineral Based Sunscreen 50ml,1,0,0,100,0,0
147,"Oil-Free Face Moisturizer for Acne-Prone Skin, 80ml",6,2,0,75,25,0
148,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric and SPF 50 PA+++ - 80ml",4,1,1,66.66666667,16.66666667,16.66666667
149,Ubtan Face Mask with Saffron and Turmeric for Skin Brightening and Tan Removal - 100g,4,0,0,100,0,0
150,"Moisturizing Bathing Bar Soap For Babies, pack of 2*75g",4,0,0,100,0,0
151,"Tea Tree Anti Dandruff Hair Mask, 200ml",2,0,0,100,0,0
152,Ubtan Face Wash with Turmeric & Saffron for Tan Removal ï¿½ï¿½ï¿½,9,2,0,81.81818182,18.18181818,0
153,"Tea Tree Facewash for acne and pimples, 100ml",6,0,0,100,0,0
154,"Charcoal Face Wash for oil control, 100ml",2,0,0,100,0,0
155,"Natural Mosquito Repellent Patches, 24pcs",2,0,0,100,0,0
156,"Moisturizing Daily Lotion For Babies, 400ml",1,0,0,100,0,0
157,"100% Natural Berry Blast Toothpaste for Kids, 50g",2,0,0,100,0,0
158,"Deeply Nourishing Body Wash for babies, 400ml",1,0,0,100,0,0
159,"Dusting Powder for Babies, 150g",5,0,0,100,0,0
160,"Easy Tummy Roll On, 40ml",1,0,0,100,0,0
161,"Milky Soft Face Cream With Murumuru Butter for Babies, 60 ml",1,0,0,100,0,0
162,Organic Bamboo Based Baby Wipes,2,0,0,100,0,0
