,PRODUCT_NAME,State
20,Eggplex Conditioner with Egg Protein & Collagen for Strength & Shine - 250 ml,"{'Madhya Pradesh': 8, 'Gujarat': 2, 'Andhra Pradesh': 3, 'Rajasthan': 5, 'Himachal Pradesh': 1, 'Maharashtra': 7, 'Karnataka': 3, 'Uttarakhand': 0, 'Chandigarh': 4, 'Arunachal Pradesh': 0, 'Haryana': 1, 'West Bengal': 2, 'Punjab': 4, 'Uttar Pradesh': 8, 'National Capital Territory of Delhi': 5, 'Goa': 3, 'Odisha': 2, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 0}"
21,Eggplex Shampoo with Egg Protein & Collagen for Strength and Shine - 250 ml,"{'Madhya Pradesh': 13, 'Gujarat': 7, 'Andhra Pradesh': 5, 'Rajasthan': 7, 'Himachal Pradesh': 6, 'Maharashtra': 16, 'Karnataka': 5, 'Uttarakhand': 2, 'Chandigarh': 8, 'Arunachal Pradesh': 4, 'Haryana': 6, 'West Bengal': 5, 'Punjab': 6, 'Uttar Pradesh': 7, 'National Capital Territory of Delhi': 10, 'Goa': 6, 'Odisha': 5, 'Jammu and Kashmir': 2, 'Jharkhand': 1, 'Tamil Nadu': 2}"
22,Ubtan Face Wash with Turmeric & Saffron for Tan Removal â€“ 150 ml,"{'Madhya Pradesh': 16, 'Gujarat': 8, 'Andhra Pradesh': 15, 'Rajasthan': 11, 'Himachal Pradesh': 7, 'Maharashtra': 19, 'Karnataka': 10, 'Uttarakhand': 12, 'Chandigarh': 5, 'Arunachal Pradesh': 15, 'Haryana': 16, 'West Bengal': 8, 'Punjab': 14, 'Uttar Pradesh': 20, 'National Capital Territory of Delhi': 15, 'Goa': 8, 'Odisha': 5, 'Jammu and Kashmir': 2, 'Jharkhand': 6, 'Tamil Nadu': 2}"
23,Skin Illuminate Sunscreen Gel SPF 50 with Vitamin C & Turmeric for UVA & B Protection - 50 g,"{'Madhya Pradesh': 3, 'Gujarat': 4, 'Andhra Pradesh': 3, 'Rajasthan': 6, 'Himachal Pradesh': 2, 'Maharashtra': 14, 'Karnataka': 2, 'Uttarakhand': 2, 'Chandigarh': 2, 'Arunachal Pradesh': 1, 'Haryana': 3, 'West Bengal': 0, 'Punjab': 4, 'Uttar Pradesh': 6, 'National Capital Territory of Delhi': 1, 'Goa': 3, 'Odisha': 0, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 2}"
24,Vitamin C Foaming Face Wash Combo Pack with Refill - 150ml + 150ml,"{'Madhya Pradesh': 9, 'Gujarat': 4, 'Andhra Pradesh': 4, 'Rajasthan': 4, 'Himachal Pradesh': 1, 'Maharashtra': 11, 'Karnataka': 5, 'Uttarakhand': 7, 'Chandigarh': 5, 'Arunachal Pradesh': 4, 'Haryana': 8, 'West Bengal': 2, 'Punjab': 3, 'Uttar Pradesh': 6, 'National Capital Territory of Delhi': 6, 'Goa': 4, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 0, 'Tamil Nadu': 2}"
25,Sunscreen Body Lotion with SPF 30 - 300 ml | Vitamin C,"{'Madhya Pradesh': 5, 'Gujarat': 3, 'Andhra Pradesh': 3, 'Rajasthan': 2, 'Himachal Pradesh': 0, 'Maharashtra': 1, 'Karnataka': 0, 'Uttarakhand': 1, 'Chandigarh': 0, 'Arunachal Pradesh': 2, 'Haryana': 0, 'West Bengal': 0, 'Punjab': 1, 'Uttar Pradesh': 1, 'National Capital Territory of Delhi': 1, 'Goa': 0, 'Odisha': 1, 'Jammu and Kashmir': 2, 'Jharkhand': 0, 'Tamil Nadu': 1}"
26,Sunscreen Body Lotion SPF 30 - 300 ml | Ubtan,"{'Madhya Pradesh': 0, 'Gujarat': 1, 'Andhra Pradesh': 1, 'Rajasthan': 2, 'Himachal Pradesh': 1, 'Maharashtra': 2, 'Karnataka': 1, 'Uttarakhand': 0, 'Chandigarh': 1, 'Arunachal Pradesh': 0, 'Haryana': 1, 'West Bengal': 0, 'Punjab': 0, 'Uttar Pradesh': 4, 'National Capital Territory of Delhi': 0, 'Goa': 0, 'Odisha': 1, 'Jammu and Kashmir': 0, 'Jharkhand': 1, 'Tamil Nadu': 0}"
27,Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera,"{'Madhya Pradesh': 8, 'Gujarat': 1, 'Andhra Pradesh': 3, 'Rajasthan': 5, 'Himachal Pradesh': 2, 'Maharashtra': 5, 'Karnataka': 5, 'Uttarakhand': 2, 'Chandigarh': 1, 'Arunachal Pradesh': 2, 'Haryana': 1, 'West Bengal': 1, 'Punjab': 3, 'Uttar Pradesh': 8, 'National Capital Territory of Delhi': 3, 'Goa': 1, 'Odisha': 1, 'Jammu and Kashmir': 1, 'Jharkhand': 4, 'Tamil Nadu': 1}"
28,Mamaearth ME Deo for a Scent Thatâ€™s Unique to You  - 120 ml,"{'Madhya Pradesh': 8, 'Gujarat': 4, 'Andhra Pradesh': 6, 'Rajasthan': 6, 'Himachal Pradesh': 0, 'Maharashtra': 12, 'Karnataka': 3, 'Uttarakhand': 2, 'Chandigarh': 6, 'Arunachal Pradesh': 3, 'Haryana': 4, 'West Bengal': 5, 'Punjab': 9, 'Uttar Pradesh': 12, 'National Capital Territory of Delhi': 7, 'Goa': 1, 'Odisha': 0, 'Jammu and Kashmir': 2, 'Jharkhand': 1, 'Tamil Nadu': 1}"
29,Rice Face Serum With Rice Water & Niacinamide for Glass Skin - 30 ml,"{'Madhya Pradesh': 6, 'Gujarat': 6, 'Andhra Pradesh': 4, 'Rajasthan': 5, 'Himachal Pradesh': 5, 'Maharashtra': 11, 'Karnataka': 3, 'Uttarakhand': 3, 'Chandigarh': 4, 'Arunachal Pradesh': 2, 'Haryana': 7, 'West Bengal': 2, 'Punjab': 3, 'Uttar Pradesh': 5, 'National Capital Territory of Delhi': 2, 'Goa': 4, 'Odisha': 4, 'Jammu and Kashmir': 1, 'Jharkhand': 0, 'Tamil Nadu': 4}"
