,PRODUCT_NAME,sentiment_positive_num,sentiment_neutral_num,sentiment_negative_num,sentiment_positive_percent,sentiment_neutral_percent,sentiment_negative_percent
272,"Skin Plump Serum For Face Glow, with Hyaluronic Acid and Rosehip Oil for Ageless Skin - 30ml",94,5,3,92.15686275,4.901960784,2.941176471
273,Tea Tree Anti-Dandruff Hair Regime Kit,45,0,0,100,0,0
274,Tea Tree Shampoo for Dandruff Free Hair - 250ml,225,11,3,94.14225941,4.60251046,1.255230126
275,Wedding Glow Skincare Kit,77,7,0,91.66666667,8.333333333,0
276,"Neem Face Mask with Neem and Tea Tree for Pimples and Zits, 100 ml",72,2,0,97.2972973,2.702702703,0
277,"Anti-Pollution Daily Face Cream, for Dry and Oily Skin, with Turmeric and Pollustop For a Bright Glowing Skin  - 80ml",125,5,1,95.41984733,3.816793893,0.763358779
278,Onion Conditioner for Hair Fall Control - 250ml,104,10,0,91.22807018,8.771929825,0
279,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 250ml,708,59,12,90.88575096,7.57381258,1.540436457
280,"Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl, 150ml",1011,86,11,91.24548736,7.761732852,0.992779783
281,Mamaearth Epsom Bath Salt for Relaxation and Pain Relief - 200 g,27,1,0,96.42857143,3.571428571,0
282,"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo Vinegar, 200ml",176,8,2,94.62365591,4.301075269,1.075268817
283,Hair Fall Control Kit,109,6,2,93.16239316,5.128205128,1.709401709
284,Tea Tree Conditioner with Tea Tree and Ginger Oil for Dandruff Free Hair 250ml,31,0,1,96.875,0,3.125
285,Bye Bye Blemishes Face Cream for Reducing Pigmentation and Blemishes with Mulberry Extract and Vitamin C -30ml,567,40,8,92.19512195,6.504065041,1.300813008
286," Castor Oil for Healthier Skin, Hair and Nails with 100% Pure and Natural Cold-Pressed Oil, 150ml",118,10,0,92.1875,7.8125,0
287,"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion Conditioner, 250ml",131,9,2,92.25352113,6.338028169,1.408450704
288,"Aloe Turmeric Gel for Skin and Hair 300ml (Saver Pack, get 20% extra)",113,6,2,93.38842975,4.958677686,1.652892562
289,Aloe Turmeric Gel for Skin and Hair 150ml,48,3,0,94.11764706,5.882352941,0
290,Tropical Garden Body Mist For Babies,11,1,0,91.66666667,8.333333333,0
291,Mineral Based Sunscreen 50ml,38,5,1,86.36363636,11.36363636,2.272727273
292,"Oil-Free Face Moisturizer for Acne-Prone Skin, 80ml",296,18,5,92.78996865,5.642633229,1.567398119
293,Sulfate Free Awesome Orange Toothpaste For Kids With Fluoride,21,2,0,91.30434783,8.695652174,0
294,"Moisturizing Bathing Bar Soap For Babies, pack of 4*75 g",84,10,0,89.36170213,10.63829787,0
295,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric and SPF 50 PA+++ - 80ml",271,24,11,88.5620915,7.843137255,3.594771242
296,"Skin Lightening and Brightening Combo : Ubtan Facemask, 100ml and Ubtan Facewash, 100ml",91,9,0,91,9,0
297,Ubtan Face Mask with Saffron and Turmeric for Skin Brightening and Tan Removal - 100g,363,32,2,91.43576826,8.060453401,0.503778338
298,"Moisturizing Bathing Bar Soap For Babies, pack of 2*75g",150,13,2,90.90909091,7.878787879,1.212121212
299,"Tea Tree Anti Dandruff Hair Mask, 200ml",79,4,3,91.86046512,4.651162791,3.488372093
300,"Plant based laundry detergent, 1000ml (Saver Pack, get 40% extra)",45,4,1,90,8,2
301,"Plant based laundry detergent, 200ml",16,0,0,100,0,0
302,"Breathe Easy Vapour Rub, 50ml",18,2,1,85.71428571,9.523809524,4.761904762
303,"Breathe Easy Vapour Roll-on, 40ml",7,0,0,100,0,0
304,Ubtan Face Wash with Turmeric & Saffron for Tan Removal – 100ml,1352,96,8,92.85714286,6.593406593,0.549450549
305,"Tea Tree Facewash for acne and pimples, 100ml",576,48,7,91.2836767,7.606973059,1.109350238
306,"Charcoal Face Wash for oil control, 100ml",324,16,0,95.29411765,4.705882353,0
307,"Natural Mosquito Repellent Patches, 24pcs",34,0,1,97.14285714,0,2.857142857
308,"Moisturizing Daily Lotion For Babies, 400ml",33,2,0,94.28571429,5.714285714,0
309,"100% Natural Berry Blast Toothpaste for Kids, 50g",63,0,0,100,0,0
310,"Deeply Nourishing Body Wash for babies, 400ml",69,2,0,97.18309859,2.816901408,0
311,"Dusting Powder for Babies, 150g",78,4,0,95.12195122,4.87804878,0
312,"After Bite Roll On, 40ml",38,2,2,90.47619048,4.761904762,4.761904762
313,"Easy Tummy Roll On, 40ml",56,5,2,88.88888889,7.936507937,3.174603175
314,"Milky Soft Face Cream With Murumuru Butter for Babies, 60 ml",278,23,1,92.05298013,7.61589404,0.331125828
315,"Nourishing Hair Oil for babies, 100ml",49,0,0,100,0,0
316,"Gentle Cleansing Shampoo, 400ml",60,0,0,100,0,0
317,Organic Bamboo Based Baby Wipes,60,0,0,100,0,0
318,"Stretch Marks Cream, 100ml",50,4,0,92.59259259,7.407407407,0
